caesarian,m.advancedHIV,n.periods.ART,n.pairs,n.hivpos
elective,not_advanced_HIV,0,372,30
non-elective,not_advanced_HIV,0,3850,652
elective,advanced_HIV,0,28,5
non-elective,advanced_HIV,0,303,74
elective,not_advanced_HIV,0,110,17
non-elective,not_advanced_HIV,0,767,196
elective,advanced_HIV,0,27,4
non-elective,advanced_HIV,0,114,40
elective,not_advanced_HIV,1,41,0
non-elective,not_advanced_HIV,1,441,49
elective,advanced_HIV,1,23,3
non-elective,advanced_HIV,1,186,33
elective,not_advanced_HIV,1,7,0
non-elective,not_advanced_HIV,1,83,22
elective,advanced_HIV,1,10,3
non-elective,advanced_HIV,1,54,19
elective,not_advanced_HIV,2,124,2
non-elective,not_advanced_HIV,2,878,49
elective,advanced_HIV,2,34,1
non-elective,advanced_HIV,2,208,24
elective,not_advanced_HIV,2,25,0
non-elective,not_advanced_HIV,2,109,11
elective,advanced_HIV,2,8,1
non-elective,advanced_HIV,2,38,6
